Instance,Time,Cost,FacilityState,CustomerState
1,4.000000,9272,1 0 1 1 1 1 1 0 1 1 ,9 3 6 7 4 9 3 5 5 6 10 1 4 3 9 4 5 1 10 5 4 3 7 5 3 6 4 6 1 6 3 7 1 1 10 5 5 4 1 5 6 9 4 6 5 1 5 1 5 4 
2,3.000000,8063,1 1 1 1 1 1 0 0 1 1 ,9 3 2 6 4 9 3 5 5 2 10 1 4 3 9 4 5 1 10 5 4 3 10 5 3 6 2 6 1 6 3 6 1 4 10 5 5 4 1 5 2 9 2 6 5 1 5 1 5 1 
3,3.000000,9788,1 1 1 1 1 1 1 0 1 1 ,9 3 2 7 4 9 3 5 5 2 10 9 4 3 1 4 3 1 10 5 4 5 7 5 3 6 2 6 1 6 3 7 1 4 10 5 5 4 1 5 2 9 2 6 5 1 5 1 5 1 
4,3.000000,11378,1 1 1 1 1 0 1 0 1 1 ,1 9 2 7 4 9 3 5 5 2 10 1 4 3 9 4 5 1 10 5 2 9 7 5 3 7 4 7 1 2 3 7 1 4 10 5 5 4 1 5 3 9 2 7 5 1 5 1 5 4 
5,3.000000,9212,1 1 1 1 1 1 1 1 1 1 ,9 9 2 7 4 9 3 5 5 2 10 9 4 3 9 4 5 1 10 8 4 5 7 5 3 6 2 6 9 6 3 7 1 4 10 5 8 4 1 5 2 9 2 6 8 1 3 1 5 1 
6,3.000000,7930,1 1 1 1 1 1 1 1 1 1 ,9 9 2 7 4 9 3 5 5 2 10 9 4 3 9 4 3 1 10 8 2 9 7 5 3 6 2 6 1 6 3 7 1 4 10 5 5 4 1 5 2 9 2 6 8 1 10 1 5 4 
7,2.000000,9992,1 1 1 1 1 1 1 1 1 1 ,9 9 2 7 4 9 3 5 5 2 10 9 4 3 9 4 5 1 10 8 4 9 7 5 3 6 2 6 1 6 3 7 1 3 10 5 5 4 1 5 2 9 2 6 8 1 10 1 8 4 
8,6.000000,11676,1 1 1 1 1 1 1 1 1 0 ,9 9 2 7 4 9 3 5 5 2 5 9 4 3 9 4 3 1 7 8 4 9 7 8 6 6 2 6 1 6 3 7 4 4 5 5 5 4 1 5 2 9 2 6 8 1 3 1 5 1 
9,2.000000,8910,1 0 1 1 1 1 0 0 1 1 ,9 9 6 6 4 9 3 5 5 6 10 9 4 3 9 4 5 1 10 5 4 9 10 5 3 6 4 6 1 6 3 6 1 4 10 5 5 4 1 5 4 9 4 6 5 1 5 1 3 1 
10,3.000000,7799,1 1 1 1 1 1 1 0 1 1 ,9 9 2 7 4 9 3 10 5 2 10 9 4 3 9 4 5 1 10 5 4 9 7 5 3 6 2 6 1 6 3 7 1 4 10 5 5 4 1 5 2 9 2 6 5 1 5 1 5 1 
11,2.000000,9558,1 1 1 1 1 1 1 0 1 1 ,9 9 2 7 4 9 3 5 5 2 10 9 4 3 9 4 5 1 10 5 4 9 7 5 3 6 2 6 1 6 3 7 1 4 10 5 5 4 1 5 2 9 2 6 5 1 5 1 3 1 
12,3.000000,11790,1 1 1 1 0 1 1 1 1 1 ,9 9 2 7 4 9 3 10 3 2 10 9 4 3 9 4 3 1 10 8 4 9 7 8 3 6 2 6 1 6 3 7 1 4 10 8 8 4 1 3 2 9 2 6 8 1 3 1 8 1 
13,4.000000,9658,1 1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 1 1 0 ,8 2 11 11 2 19 18 14 15 18 16 18 2 11 14 4 16 11 18 10 15 16 16 19 10 18 1 18 2 4 14 8 19 1 4 11 4 2 2 14 10 1 1 8 4 14 15 11 14 10 
14,4.000000,7934,1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 0 0 1 1 1 ,1 2 11 11 2 19 18 14 15 18 8 20 2 7 14 4 8 11 18 7 15 19 8 20 7 18 1 18 2 18 14 8 14 1 4 11 4 20 20 14 7 1 8 1 9 14 15 11 20 9 
15,4.000000,10630,1 1 1 1 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 1 ,17 2 11 11 2 19 4 19 11 4 16 20 2 7 3 4 16 11 2 7 19 16 16 20 7 2 17 4 2 4 3 16 3 17 4 11 4 20 20 3 7 1 1 1 9 16 16 11 20 9 
16,5.000000,11896,1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 ,1 13 11 11 13 13 4 14 15 5 16 5 13 11 14 4 16 11 5 10 13 16 16 14 10 5 1 4 4 5 14 15 14 1 4 11 4 13 5 16 10 1 16 1 4 14 15 11 5 10 
17,4.000000,10601,1 1 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 1 ,17 13 8 8 2 13 4 3 15 5 8 5 2 7 3 4 8 8 5 10 13 15 8 20 7 5 17 4 2 5 3 8 3 17 4 7 4 20 20 3 7 1 1 1 4 3 15 7 20 10 
18,4.000000,8356,0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 0 1 0 ,17 4 11 11 19 19 4 14 15 4 16 5 5 7 14 4 16 11 5 10 15 16 16 3 7 5 17 4 4 5 14 16 3 17 4 11 12 19 5 14 7 17 16 17 12 14 15 11 3 10 
19,6.000000,11061,1 1 1 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 1 1 ,1 2 1 8 2 19 2 19 15 5 8 5 2 10 3 12 19 8 5 10 15 19 8 20 10 5 1 2 2 5 3 8 3 1 2 8 12 20 20 3 10 1 19 8 12 19 15 15 20 10 
20,3.000000,12039,1 1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 0 1 0 1 ,1 2 11 11 2 14 18 14 15 18 8 20 2 8 14 4 6 11 18 11 15 6 8 20 11 18 1 18 2 18 14 8 14 1 4 11 4 20 20 14 15 1 6 1 4 6 15 11 20 4 
21,4.000000,9118,1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 ,1 13 8 8 2 13 4 14 13 4 8 20 2 7 14 4 8 8 2 7 13 8 8 20 7 2 1 4 2 4 14 8 14 1 4 7 4 20 20 14 7 1 1 1 4 14 13 7 20 7 
22,5.000000,8004,1 1 0 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 ,1 2 11 11 2 16 4 14 4 5 16 5 2 11 14 4 16 11 5 9 16 16 16 14 11 5 1 4 2 5 14 16 14 1 4 11 4 2 2 14 11 1 1 1 9 14 16 11 5 9 
23,6.000000,9627,1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 ,1 13 11 11 20 13 4 3 13 5 16 5 20 11 3 4 16 11 5 10 13 16 16 20 10 5 1 4 4 5 3 16 3 1 4 11 4 20 20 3 11 1 1 1 4 16 13 11 20 10 
24,3.000000,10635,1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0 1 ,1 13 11 11 20 13 18 14 13 18 16 20 20 11 14 12 16 11 18 12 13 16 16 20 11 18 1 18 13 18 14 16 14 1 12 11 12 20 20 14 11 1 1 1 12 14 13 11 20 12 
25,65.000000,17022,1 0 1 0 1 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 1 1 ,9 28 21 3 21 12 3 25 15 18 12 9 21 21 3 15 15 1 6 1 15 6 26 5 25 9 1 25 25 6 28 6 29 12 9 21 25 25 30 18 1 15 25 9 6 15 8 9 28 9 26 15 3 12 21 21 15 5 1 15 1 6 21 28 12 12 25 1 26 25 29 21 12 12 6 9 6 21 15 30 21 1 21 18 18 18 3 8 21 12 3 25 1 12 18 6 3 12 30 21 29 18 18 26 18 26 28 12 15 15 1 15 8 12 1 28 25 25 25 25 6 21 26 21 9 5 6 25 12 28 1 28 25 28 21 9 5 6 21 1 1 29 21 15 21 26 26 6 18 6 
26,90.000000,14468,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 1 1 0 ,21 26 14 3 21 6 3 25 9 18 23 17 29 21 8 15 15 18 12 12 3 1 25 20 6 9 20 25 10 25 6 26 17 12 21 14 25 25 8 3 1 15 6 29 25 15 8 14 12 9 6 15 15 6 14 14 15 28 1 15 1 25 21 12 12 12 23 18 23 10 21 21 6 1 25 29 10 21 15 25 14 8 21 18 20 18 1 8 21 6 15 25 3 12 1 6 3 6 26 17 29 1 1 12 3 6 8 1 15 29 15 15 3 1 12 28 25 10 25 6 6 21 12 21 14 1 6 10 1 26 1 12 25 6 17 15 12 6 21 18 1 9 21 15 9 26 26 6 1 6 
27,44.000000,19448,1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 1 ,15 26 21 1 14 6 20 10 20 1 10 9 9 21 8 15 15 1 12 1 20 1 30 3 10 21 3 12 6 30 6 6 9 30 21 21 6 10 5 15 1 9 6 15 6 15 26 21 26 15 30 21 15 6 9 21 18 30 26 15 1 6 21 8 1 1 18 1 26 6 21 21 12 8 30 21 10 21 15 10 21 8 21 18 3 18 1 5 21 6 20 10 8 1 8 26 3 12 6 20 9 1 15 26 20 30 3 26 1 15 15 3 18 18 1 22 1 10 6 6 12 1 26 21 14 26 12 1 20 22 1 12 10 12 9 15 5 6 9 18 1 14 21 15 9 30 12 6 18 6 
28,106.000000,19031,1 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 ,21 28 21 3 21 6 20 25 3 18 6 29 9 21 18 15 15 1 6 12 15 8 25 3 25 21 20 25 6 25 6 26 9 26 21 21 25 25 28 15 1 15 25 15 25 18 1 21 26 9 28 29 15 6 9 21 3 6 12 15 1 25 21 12 12 12 6 1 6 6 21 9 1 18 25 9 25 21 18 25 9 8 9 18 20 1 18 8 21 12 1 25 8 12 8 25 3 3 26 3 9 8 1 26 20 12 1 26 15 29 15 29 3 12 12 12 25 25 25 25 6 9 12 21 21 28 6 25 1 6 1 12 6 3 15 15 1 6 21 18 1 9 21 15 9 1 26 6 3 6 
29,42.000000,18506,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 ,14 12 14 3 29 6 3 10 29 1 30 21 29 9 18 3 15 18 28 1 15 12 6 12 25 9 18 6 6 30 30 26 29 26 21 9 6 12 18 15 1 15 10 9 25 15 30 14 28 29 6 29 18 1 21 21 3 30 12 15 1 6 21 12 18 12 6 18 30 10 21 9 1 8 25 21 26 21 15 6 9 1 9 18 20 18 8 3 21 6 15 25 3 1 12 6 3 15 30 9 14 20 18 12 3 28 18 12 29 9 15 29 3 12 26 26 6 25 6 25 12 1 12 21 9 1 26 26 1 8 1 28 25 1 21 15 20 25 14 18 1 14 14 15 9 26 26 6 3 6 
30,65.000000,15022,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0 ,21 12 21 1 9 6 20 25 3 18 10 14 9 21 18 9 15 18 6 18 8 8 25 1 1 21 20 6 25 28 26 12 21 28 9 9 25 25 8 15 18 15 10 15 25 15 3 9 28 21 26 15 15 12 14 14 1 18 26 15 1 6 21 12 1 6 6 1 10 10 14 21 12 18 25 9 25 21 18 25 21 1 14 18 20 18 3 20 21 26 18 6 18 12 18 10 3 26 12 21 14 8 18 26 3 12 12 26 15 9 15 15 3 1 12 28 25 6 25 25 6 9 12 14 9 12 25 26 8 6 1 12 12 6 3 15 28 26 21 1 18 14 21 15 9 6 26 6 3 25 
31,68.000000,18657,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 ,21 26 14 3 14 6 18 25 15 18 25 29 9 9 18 15 18 1 6 1 18 8 12 20 10 21 20 25 6 10 26 26 14 12 21 14 25 25 1 15 18 21 25 9 6 15 26 21 1 15 26 3 15 12 9 14 18 12 28 18 18 25 21 28 12 12 26 1 28 10 21 21 12 1 10 9 6 21 3 25 14 8 21 18 8 18 1 18 21 26 3 6 8 12 8 6 20 29 28 21 21 8 15 26 3 28 8 8 9 29 15 15 3 12 1 26 25 25 6 12 6 9 12 21 9 1 25 25 18 28 1 1 25 6 8 21 8 6 14 18 1 9 21 15 9 18 6 6 3 6 
32,72.000000,21156,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 0 1 ,21 12 14 18 14 12 3 10 15 1 30 9 9 9 3 15 15 18 6 12 3 3 28 8 10 15 20 25 25 6 26 26 21 30 21 21 25 6 8 18 18 9 10 8 25 15 8 14 28 21 6 20 15 6 21 14 18 18 1 18 1 25 21 28 12 12 25 1 10 25 21 14 12 18 10 9 6 21 20 6 14 8 21 18 20 1 3 8 21 26 15 6 18 12 1 6 3 12 26 26 15 18 18 12 18 30 8 1 15 9 15 3 3 1 26 30 25 25 25 25 12 9 28 14 9 3 6 25 8 28 1 28 25 6 9 15 12 26 21 18 1 15 21 15 9 28 1 6 3 6 
33,81.000000,15514,1 0 1 0 1 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 1 ,9 26 21 3 9 6 3 25 15 18 6 9 21 9 3 29 15 18 6 12 20 5 6 18 1 21 20 6 6 25 12 6 29 26 21 21 25 26 8 15 1 9 6 3 6 15 5 21 12 29 6 3 15 6 21 9 18 12 1 15 1 6 21 18 12 12 25 1 30 25 9 21 12 18 6 21 25 21 20 25 21 8 21 18 18 18 3 8 21 26 1 25 18 12 1 25 18 18 12 21 29 18 15 12 20 30 18 26 15 29 15 3 3 12 12 5 25 25 6 25 6 21 26 21 9 18 6 25 12 26 1 1 25 5 29 15 18 26 21 18 1 9 21 15 9 30 12 6 3 6 
34,94.000000,13780,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 1 1 0 ,14 26 21 3 21 6 3 10 9 18 10 14 29 21 18 9 15 18 26 12 3 1 6 18 6 9 3 25 6 26 6 26 14 28 21 21 6 10 18 15 1 15 25 9 25 15 18 14 12 29 12 9 15 6 9 21 18 12 12 15 1 25 21 1 12 12 25 1 25 6 9 21 12 18 25 9 6 21 29 25 21 1 29 18 1 18 3 1 21 6 18 25 18 1 1 10 3 3 26 9 29 8 18 1 3 26 1 12 15 9 15 29 1 12 12 28 25 25 6 25 6 9 26 21 14 18 6 25 1 26 1 12 10 8 9 15 18 25 21 1 18 9 21 15 9 26 12 26 18 6 
35,103.000000,15602,1 0 1 0 0 1 0 1 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 ,21 12 9 3 9 6 3 25 9 18 25 9 9 21 3 15 1 18 6 12 15 1 1 3 10 21 15 25 6 10 6 26 21 28 21 9 25 10 1 15 1 9 25 9 25 15 12 21 26 9 28 15 15 6 21 21 18 28 12 15 1 25 21 28 12 12 25 1 25 6 9 9 12 18 25 9 10 21 18 10 21 1 9 18 3 18 18 8 21 6 18 10 18 26 18 25 3 28 26 21 9 8 18 1 3 28 8 12 15 9 15 15 18 12 12 28 25 25 6 6 6 21 6 21 9 1 6 25 3 28 1 8 25 26 9 15 3 26 21 18 1 9 21 15 9 26 26 26 3 6 
36,99.000000,19332,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 ,14 12 9 15 14 6 20 10 15 18 25 29 29 21 20 15 15 18 26 12 20 1 10 18 6 9 20 25 6 25 1 26 14 6 21 21 25 6 6 15 1 15 10 9 25 15 8 21 8 15 12 29 15 6 29 21 18 8 8 15 1 6 21 12 12 12 10 1 6 25 9 21 6 18 25 9 25 21 1 25 14 8 14 18 18 18 1 8 21 26 18 25 20 1 18 10 15 12 26 14 9 18 1 26 3 6 18 12 15 29 15 15 3 12 12 6 6 25 25 25 6 9 26 21 21 1 26 10 1 26 1 12 25 6 29 15 18 6 21 18 1 9 21 15 9 26 26 6 3 6 
37,105.000000,16229,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 ,21 12 21 3 21 6 20 25 15 18 25 21 29 21 3 15 18 18 6 12 3 8 10 3 6 9 20 25 6 25 28 26 21 12 9 21 6 6 1 15 18 15 25 29 10 15 8 14 26 9 6 29 15 6 14 21 3 26 1 15 1 25 21 12 12 12 25 1 25 10 21 21 12 18 25 21 25 21 15 25 21 8 21 18 18 18 18 8 21 1 18 25 1 12 1 10 15 15 26 15 21 18 18 26 3 26 1 12 9 29 15 15 3 12 12 1 25 25 25 25 12 29 12 14 29 8 6 25 12 26 18 28 25 6 29 15 18 26 21 18 1 9 21 15 9 28 26 6 18 6 
38,94.000000,13553,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 ,21 12 14 18 9 6 3 10 3 18 25 17 9 21 18 15 18 18 6 12 3 18 26 18 30 21 1 25 6 25 12 26 14 30 21 9 25 25 1 3 18 15 10 9 25 15 8 14 12 15 26 3 15 6 14 21 3 18 12 15 1 6 21 12 1 12 25 1 18 10 14 21 12 18 6 9 10 21 15 25 14 12 21 18 8 18 18 8 21 26 3 25 18 12 1 25 3 18 12 17 9 18 18 12 3 26 12 1 15 9 15 3 3 12 26 6 25 25 6 25 6 17 12 14 17 18 6 25 18 26 18 6 25 26 9 15 6 30 21 18 1 21 21 15 9 1 12 6 3 6 
39,96.000000,17061,1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 ,14 12 14 15 29 6 8 10 29 18 25 9 21 21 18 15 18 18 8 12 15 8 6 18 6 9 3 25 6 25 25 12 14 6 21 21 25 25 5 3 1 15 25 29 25 15 5 14 1 29 6 9 15 6 21 21 18 12 8 15 1 6 21 8 12 12 25 1 6 30 29 14 6 18 25 9 25 21 15 25 21 8 21 1 18 18 18 5 21 30 3 6 1 12 1 10 18 1 30 21 9 18 15 18 8 30 15 1 15 9 15 29 3 1 12 6 25 25 25 25 6 9 12 14 9 8 6 10 1 30 1 5 25 12 21 9 5 30 14 18 1 21 21 15 15 12 12 6 18 25 
40,103.000000,18592,1 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 ,29 12 29 18 21 6 3 25 15 18 25 9 21 21 18 3 15 18 30 12 15 12 8 8 6 9 3 25 12 6 6 26 21 12 21 9 6 25 1 15 1 15 25 9 6 15 12 9 1 29 30 29 18 6 21 15 18 26 18 15 1 6 21 12 12 12 6 1 25 25 21 21 12 1 25 9 6 21 15 25 21 1 21 18 8 18 3 12 21 26 18 25 1 12 1 6 15 3 30 21 9 18 15 12 3 30 18 1 15 29 15 15 3 12 12 12 25 25 25 25 6 29 26 21 21 12 12 6 12 26 1 1 25 30 29 15 12 26 21 18 1 9 21 15 9 26 26 6 1 6 
41,6.000000,6947,1 1 1 0 1 1 1 1 1 1 ,6 7 5 2 8 10 8 8 9 9 5 10 3 7 3 8 8 8 1 7 7 2 5 2 7 6 6 5 6 6 9 1 1 1 8 3 3 7 7 10 3 8 8 8 9 6 1 6 7 5 2 2 7 7 10 8 3 6 9 9 1 1 2 6 1 7 7 7 5 5 1 5 5 1 8 8 3 3 7 6 8 3 3 8 10 10 10 10 10 3 
42,11.000000,7380,0 0 1 1 0 1 1 0 0 0 1 1 1 0 1 0 1 0 1 1 ,13 11 12 6 20 19 17 4 17 17 12 19 7 11 7 20 17 3 15 15 6 12 6 12 13 13 12 17 3 4 17 20 7 15 15 11 11 20 17 17 17 4 4 17 12 6 19 20 19 20 17 3 17 4 3 6 3 15 15 15 12 12 4 4 12 4 17 19 20 7 11 19 20 20 20 19 19 20 20 20 
43,8.000000,7497,1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 1 1 ,28 1 16 29 26 10 27 13 29 30 24 24 26 10 12 12 16 16 13 8 26 27 1 1 10 26 30 12 30 30 30 24 24 26 1 10 8 13 16 12 28 13 29 24 29 26 27 10 10 12 16 1 10 13 13 12 1 1 24 30 30 28 8 30 28 29 28 28 28 30 
44,6.000000,7502,1 1 1 1 1 1 1 1 0 1 ,5 5 5 5 5 5 5 5 1 1 1 1 7 1 1 1 8 2 2 8 7 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 1 2 8 3 10 8 6 10 8 8 7 6 6 10 2 8 8 10 6 6 6 10 4 1 7 7 3 2 6 5 10 10 8 8 2 7 7 6 2 8 10 10 10 10 8 7 6 8 6 
