Instance,Time,Cost,FacilityState,CustomerState
45,10.000000,8871,0 0 0 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 ,20 20 20 20 20 20 20 7 7 7 7 7 7 7 7 4 4 4 4 4 4 5 5 5 5 5 5 5 5 15 15 15 15 17 17 17 17 17 20 20 4 4 12 13 19 17 20 4 16 17 14 14 12 17 19 20 15 16 11 11 13 4 16 18 14 14 12 13 11 11 19 13 14 18 15 18 18 17 11 14 
46,12.000000,7613,0 1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 1 ,30 30 30 30 30 24 24 2 2 2 2 2 29 2 24 3 3 4 3 4 3 5 5 5 5 5 5 9 9 9 9 9 10 10 24 3 4 25 25 29 30 4 4 24 25 19 19 28 30 29 30 28 28 24 25 19 28 19 19 25 4 19 29 19 28 28 28 28 4 19 
47,7.000000,6783,1 1 1 1 1 1 1 1 1 1 ,1 9 1 3 1 1 1 1 1 1 3 3 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 7 8 7 1 8 8 8 8 8 8 9 10 7 9 7 9 7 10 10 10 9 9 1 1 10 10 
48,14.000000,6316,1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 ,1 1 1 1 2 1 2 2 2 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 7 7 7 7 7 7 7 10 10 10 13 10 10 10 10 10 10 10 11 11 11 11 11 11 14 14 13 14 14 13 14 15 15 13 15 13 1 15 15 15 15 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 
49,7.000000,7262,1 1 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 ,1 2 2 3 2 3 3 3 5 5 5 5 5 8 8 8 8 8 8 8 8 8 9 9 9 9 8 13 13 21 13 21 9 13 13 9 19 19 19 13 13 19 21 21 21 21 19 21 27 19 27 19 1 27 27 19 27 27 27 27 27 27 27 27 28 28 28 28 28 28 
50,14.000000,9417,1 1 1 1 1 1 1 1 0 1 ,4 7 4 1 3 10 6 6 4 8 8 5 2 10 1 3 10 3 6 4 1 1 1 5 1 7 8 5 5 8 8 8 4 4 4 6 10 10 1 7 1 10 10 10 6 6 6 6 6 4 4 6 7 1 1 1 7 7 3 3 2 8 8 8 4 4 1 5 8 8 4 7 7 1 7 5 5 4 4 5 4 6 3 3 10 3 7 8 3 8 10 2 3 3 2 2 2 2 2 2 
51,19.000000,9106,1 1 1 0 0 1 1 0 0 0 1 0 1 1 0 1 1 0 1 1 ,16 7 20 11 13 14 6 17 16 2 6 20 7 14 7 14 13 17 3 16 1 1 11 20 11 11 16 20 20 16 2 2 20 20 16 6 14 14 11 1 1 14 14 14 17 6 6 6 6 20 16 3 1 11 11 11 7 7 14 13 14 6 2 6 16 16 11 20 2 2 16 1 1 1 11 20 20 20 20 20 20 6 17 13 14 13 7 3 13 2 14 14 14 19 19 14 14 19 14 14 
52,8.000000,9768,0 1 0 1 1 1 1 1 1 1 ,8 8 8 8 8 8 8 8 4 5 5 5 4 5 5 5 5 6 4 9 9 9 4 9 9 10 6 10 10 10 10 10 6 2 7 7 7 7 7 7 7 7 7 7 8 8 5 9 9 6 6 4 5 7 8 6 4 4 4 5 7 10 6 6 4 6 6 7 5 8 7 7 5 4 4 6 4 5 8 2 7 4 4 6 6 4 4 8 10 4 6 6 10 2 6 2 4 5 4 8 
53,15.000000,10192,0 1 0 1 0 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1 ,6 6 6 6 6 6 6 6 20 20 20 8 8 8 8 8 8 13 14 13 13 14 13 13 4 10 16 10 10 10 10 10 10 16 19 19 19 19 19 19 19 19 19 19 6 6 8 13 14 16 16 4 8 19 6 16 4 4 2 7 19 16 16 14 4 14 10 6 7 6 18 19 7 4 4 16 4 7 7 16 18 20 14 16 16 4 2 7 16 2 14 16 18 18 16 18 2 7 2 6 
54,13.000000,9627,1 1 1 1 1 1 1 1 1 1 ,10 8 8 8 8 8 8 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 7 7 9 9 7 9 9 9 7 9 9 9 4 7 7 7 7 7 7 7 7 7 6 6 7 6 6 6 7 7 1 1 7 1 6 8 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 10 5 10 10 10 10 5 10 3 
55,24.000000,9119,1 0 0 0 0 0 1 1 1 0 0 0 1 1 1 1 0 1 1 0 ,18 19 18 18 18 18 9 18 9 9 9 19 18 9 7 9 7 7 9 7 13 13 13 13 7 13 13 13 7 7 7 15 15 7 7 7 7 7 7 8 8 8 1 8 1 1 1 1 1 1 1 1 8 8 8 8 8 8 8 8 8 8 14 8 14 8 8 8 8 14 14 8 14 8 19 14 14 14 14 14 14 16 16 16 16 16 16 16 16 16 16 19 19 19 19 19 19 19 19 19 
56,50.000000,35925,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 ,19 5 22 28 22 13 16 29 19 29 5 12 21 6 29 19 4 21 28 25 8 22 6 3 2 26 3 29 27 3 12 30 27 17 3 7 10 9 25 16 19 10 7 30 9 15 4 3 29 11 17 17 17 22 24 13 12 10 19 26 30 28 8 15 21 12 1 28 20 26 8 7 27 15 6 11 9 21 10 28 14 1 15 26 30 24 27 3 25 8 13 12 26 26 1 4 29 13 1 29 1 16 13 8 5 18 30 25 19 11 21 27 28 8 12 9 26 12 20 9 14 12 15 5 5 16 18 12 20 18 13 25 13 21 2 27 4 14 20 15 26 25 13 12 12 18 16 22 25 8 1 11 24 29 4 29 24 16 14 14 15 19 11 3 6 28 1 30 4 3 18 10 21 21 7 1 1 24 30 11 6 16 17 7 13 9 29 14 29 17 3 22 7 5 8 12 8 16 24 20 
57,35.000000,44884,1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 0 ,28 12 22 28 22 13 22 8 17 13 5 29 9 24 29 8 21 21 7 1 12 25 6 17 18 12 22 18 5 22 5 20 7 22 22 7 9 15 3 25 12 9 5 27 11 27 4 25 29 15 1 17 3 22 9 13 29 9 12 8 5 1 13 14 21 12 24 15 18 13 8 12 5 9 24 24 14 15 21 22 11 24 20 26 5 24 20 6 28 26 29 20 12 26 21 24 8 12 15 22 15 17 8 25 5 1 5 17 28 9 9 7 28 7 13 24 1 8 20 9 27 7 1 7 11 17 24 28 27 15 18 22 8 11 6 15 14 4 29 24 7 17 29 8 26 24 25 25 28 13 8 11 18 25 14 29 22 17 4 4 24 29 9 25 14 25 1 20 9 17 6 9 20 11 27 3 1 14 5 21 6 6 3 5 8 27 28 21 1 25 28 22 6 5 8 12 8 22 14 20 
58,74.000000,59998,1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 0 ,23 7 16 28 1 26 22 1 28 3 18 18 9 2 13 28 2 21 23 28 8 16 3 3 14 23 28 12 7 3 29 20 20 23 8 12 9 4 25 22 8 10 12 5 9 12 9 3 20 18 25 25 22 25 21 7 12 10 23 18 5 18 8 9 21 26 3 29 29 13 8 13 20 10 2 14 21 18 24 25 21 24 9 13 5 10 20 6 28 7 29 7 26 12 3 14 25 13 1 29 29 3 13 1 5 25 20 25 23 21 10 7 13 8 12 21 20 26 29 10 24 23 12 20 5 16 3 13 20 18 12 18 26 6 24 10 2 10 29 1 13 28 20 8 26 24 25 16 28 29 1 21 24 29 4 7 3 16 14 4 14 22 21 25 3 28 21 5 4 16 6 21 20 18 10 23 29 10 5 3 6 22 22 7 12 9 29 24 7 25 3 22 7 7 8 13 26 1 21 7 
59,26.000000,51473,0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 25 22 13 22 13 19 18 5 7 18 24 11 12 4 18 23 25 12 23 6 3 14 28 28 29 20 3 7 27 30 17 20 13 21 27 25 23 12 15 12 15 21 5 4 22 29 11 28 23 3 17 9 7 8 9 19 8 30 3 28 9 4 8 11 18 29 8 26 13 13 9 11 24 21 3 21 25 24 18 29 13 5 20 20 6 17 12 29 20 19 13 15 4 18 20 11 28 29 23 12 12 30 21 5 6 23 4 27 30 19 13 30 21 21 12 20 14 27 28 29 20 13 23 22 12 20 18 7 3 26 24 21 27 4 4 8 11 13 11 13 26 8 3 25 22 28 12 3 15 14 11 11 7 6 25 4 14 14 28 15 25 6 29 15 5 24 6 3 9 18 21 15 29 18 21 30 14 17 22 22 7 19 4 13 11 6 17 3 6 5 7 26 7 8 6 6 27 
60,31.000000,37775,1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 25 3 12 16 25 23 1 7 29 11 21 29 8 6 14 23 1 8 3 6 8 24 19 1 21 30 22 15 7 9 22 23 13 11 9 22 17 8 10 29 27 24 7 14 3 1 15 3 17 3 16 11 20 8 21 8 23 30 25 19 9 21 12 1 15 29 7 26 13 20 14 24 11 14 21 9 23 24 1 27 26 30 21 7 24 28 12 29 8 26 29 3 9 29 7 21 29 11 3 19 19 20 1 27 1 17 9 15 30 28 13 12 11 15 8 1 24 21 12 21 27 11 22 3 13 27 14 28 22 26 21 22 9 9 21 29 24 20 23 7 13 26 6 1 25 23 28 28 25 24 6 24 26 15 25 9 14 11 28 21 3 14 28 3 15 21 6 3 21 10 21 27 3 1 24 30 9 6 16 25 20 12 10 20 9 1 17 3 22 13 7 26 12 8 16 6 7 
61,54.000000,44082,1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 ,26 15 22 17 25 13 16 1 28 29 5 5 9 6 15 12 10 21 12 28 28 17 6 22 21 19 28 15 30 6 15 20 27 22 28 7 15 11 22 22 29 10 20 30 9 7 14 25 27 15 17 17 25 25 11 7 26 10 28 29 30 1 19 21 14 12 3 13 7 26 19 7 7 9 24 11 14 3 15 25 11 1 9 26 30 9 5 6 19 26 20 20 29 8 6 14 29 12 11 29 29 16 12 19 5 28 5 22 19 14 15 30 29 7 7 21 7 8 1 9 20 12 11 27 27 17 3 12 27 15 12 1 29 15 6 10 21 21 24 15 26 28 13 29 7 6 22 3 19 8 3 29 24 15 24 26 6 17 15 24 14 19 14 22 6 1 6 13 14 22 24 24 5 15 30 6 1 9 30 6 6 22 22 15 13 14 12 21 1 16 16 25 13 5 8 13 26 22 24 28 
62,79.000000,59680,1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 ,22 20 16 25 6 7 22 28 25 29 20 18 14 9 13 1 11 14 23 1 29 17 22 25 11 23 28 12 27 6 20 7 20 17 18 20 14 9 25 17 29 10 20 20 9 27 14 22 20 15 17 17 25 22 9 26 8 27 23 8 20 1 8 10 14 26 15 15 7 26 26 12 20 10 24 24 11 6 6 28 24 6 27 12 7 14 7 6 23 26 18 12 8 13 24 14 18 20 1 29 18 16 12 8 20 22 20 23 28 2 20 27 28 26 13 1 18 12 1 20 15 26 29 28 27 17 17 13 10 15 12 28 12 14 24 27 2 9 12 24 28 18 12 26 12 18 25 16 28 26 28 1 11 25 9 12 25 17 2 11 11 29 24 25 11 28 24 27 11 22 24 11 20 15 27 16 1 14 20 27 6 17 25 20 12 10 12 24 28 17 22 22 7 20 26 7 8 22 2 29 
63,79.000000,49829,1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 ,12 29 3 25 17 13 16 1 23 29 27 15 14 2 29 19 14 21 3 28 29 17 6 3 15 29 28 13 30 3 29 7 7 25 18 13 9 27 22 17 8 15 7 30 9 20 14 22 20 9 1 16 3 17 21 26 12 9 8 12 27 18 19 15 14 13 3 20 20 13 29 12 29 21 15 3 21 11 9 17 7 1 27 8 27 11 13 6 26 19 29 7 8 8 20 11 28 13 1 29 20 16 13 19 7 1 27 22 23 2 15 7 23 26 13 21 15 26 1 9 15 8 1 7 7 16 1 12 27 1 13 23 26 11 14 9 14 14 29 9 7 1 19 12 8 22 25 22 28 8 28 18 3 1 9 7 28 17 2 14 14 12 11 28 6 28 6 30 2 16 6 11 27 11 20 3 1 11 30 6 6 6 3 29 20 2 28 11 22 17 1 22 7 15 19 13 8 6 1 15 
64,68.000000,34070,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 ,26 29 22 25 6 7 3 29 23 18 5 29 9 14 15 26 14 21 23 1 8 16 24 25 11 28 28 15 30 3 20 20 20 22 28 13 15 9 25 25 8 10 7 10 21 7 11 22 20 15 25 17 25 17 21 20 26 15 23 8 10 1 26 21 14 12 3 20 29 13 8 7 20 10 6 24 21 11 9 16 11 18 15 13 30 14 7 25 28 26 13 15 12 12 15 4 12 29 25 18 18 17 26 23 5 1 5 25 17 4 20 30 28 13 13 21 29 8 15 15 5 26 1 20 20 17 22 13 18 1 29 3 12 21 21 9 14 4 13 6 12 25 29 12 26 3 1 16 12 12 1 3 24 15 21 25 3 18 4 11 14 12 21 25 21 28 6 7 2 22 24 11 20 15 5 3 1 15 5 24 3 1 1 12 29 10 29 11 1 16 3 22 7 5 8 13 8 17 18 20 
65,104.000000,42643,1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 ,28 29 16 28 3 26 16 19 23 29 30 12 9 2 18 28 14 11 23 1 19 17 6 28 14 28 23 20 30 3 18 20 27 25 29 20 9 10 25 3 8 10 7 15 21 20 14 25 7 18 25 3 16 22 21 7 12 10 23 23 30 3 8 27 4 8 1 18 29 26 19 26 29 10 11 11 21 1 14 16 29 1 10 12 30 11 7 1 19 19 29 7 12 8 18 14 12 7 1 18 11 16 20 8 20 3 30 17 23 4 21 30 25 12 12 9 29 26 18 9 10 12 18 30 20 17 22 29 27 29 28 25 26 11 6 11 4 21 20 11 12 28 12 29 26 6 22 16 23 26 22 1 6 29 14 18 1 23 4 4 2 17 11 22 22 1 14 30 2 22 2 21 29 11 27 3 1 11 30 15 6 25 25 27 12 21 7 14 25 17 1 25 20 30 26 7 8 6 11 29 
66,52.000000,62162,1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 1 ,26 20 16 25 16 12 3 25 19 20 5 21 14 4 1 28 4 21 12 1 19 28 28 25 11 29 22 5 30 3 29 20 27 6 13 29 21 10 1 16 19 4 13 5 9 27 14 22 10 15 3 3 3 6 9 7 26 9 19 26 20 25 29 10 14 29 6 7 29 12 12 5 5 15 9 6 27 1 10 22 11 13 11 26 27 11 20 6 28 26 20 30 12 26 3 4 29 7 1 29 20 16 7 28 5 12 5 25 28 11 15 27 19 7 12 15 29 26 15 9 27 26 1 20 10 16 1 19 15 7 20 22 26 14 14 10 4 21 7 21 12 25 13 12 13 3 25 25 28 19 25 29 14 1 14 15 1 3 9 9 11 29 11 22 6 29 6 7 21 28 11 9 5 21 10 25 1 15 30 15 6 22 22 20 13 10 29 9 1 22 1 1 15 20 13 12 19 22 10 13 
67,47.000000,47471,1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 ,19 7 17 19 3 7 17 7 28 20 5 20 15 4 7 19 24 21 19 29 7 22 6 22 24 1 28 20 30 3 20 7 20 25 29 13 24 30 1 17 19 15 12 30 15 27 4 22 20 20 19 1 17 25 14 7 12 11 19 19 30 1 12 18 14 13 3 24 18 13 8 13 29 18 24 6 21 11 15 17 11 24 29 8 30 11 30 24 12 13 28 13 26 26 25 4 26 29 11 1 29 22 13 19 30 1 27 25 22 14 18 30 25 13 13 21 12 12 15 4 27 26 1 29 27 17 22 29 20 1 28 17 12 14 24 21 4 4 12 24 29 28 13 8 26 18 3 22 19 8 25 24 24 18 21 13 25 3 14 4 4 29 11 22 28 22 14 5 4 22 24 21 15 18 27 3 1 21 30 24 6 6 3 29 13 21 12 24 6 22 22 22 7 7 8 26 8 22 21 28 
68,53.000000,35847,1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,23 15 22 25 1 7 22 29 23 1 5 12 14 4 12 19 24 21 23 1 19 22 24 23 11 23 19 7 20 1 7 20 27 17 28 13 9 9 3 17 8 10 29 5 9 5 14 22 18 15 24 23 23 17 14 7 12 9 19 12 30 25 8 21 21 12 6 18 29 26 19 7 7 10 24 6 18 11 9 17 15 24 10 26 5 14 7 6 6 13 28 7 26 26 3 4 13 13 18 15 20 22 26 28 27 22 5 3 17 9 15 20 23 20 13 10 1 26 1 10 27 1 12 20 10 23 25 7 10 18 29 25 13 11 24 27 10 14 29 21 13 28 12 12 13 15 22 22 19 26 1 1 24 1 14 29 3 25 15 21 14 28 21 25 6 12 6 20 4 17 6 11 20 15 20 6 6 4 30 14 3 22 25 18 13 27 20 11 6 25 3 25 7 5 8 12 8 25 11 27 
69,56.000000,43845,1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 ,19 7 28 1 22 13 22 18 25 28 27 29 15 2 29 8 2 18 19 28 18 28 6 25 18 13 28 18 30 17 27 20 27 17 28 13 21 9 25 22 23 11 13 10 9 20 9 22 15 29 25 17 3 17 21 13 19 10 23 8 20 25 8 15 10 12 2 11 20 13 19 7 27 21 11 11 11 1 9 17 11 3 10 26 7 11 7 25 23 26 12 12 12 12 3 2 12 7 1 29 20 17 13 19 30 18 7 17 19 2 18 30 26 26 13 9 29 8 19 21 15 12 29 13 10 23 22 13 15 10 19 3 8 9 21 27 2 11 1 2 13 22 7 26 13 25 25 17 19 26 25 18 18 1 9 12 6 17 11 9 2 26 6 25 3 29 6 30 9 22 2 21 27 21 27 3 22 30 27 21 6 3 22 15 29 11 7 6 18 22 25 25 20 7 8 20 19 1 18 20 
70,83.000000,59837,1 1 1 0 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 ,12 12 6 28 3 15 22 28 26 13 27 18 11 24 12 12 2 11 19 20 28 17 3 25 24 19 1 27 27 16 20 27 27 17 28 13 24 21 25 17 19 9 13 27 21 20 14 25 20 21 1 3 17 25 15 7 25 27 28 12 27 1 19 9 24 26 3 15 26 12 1 13 15 21 24 11 2 3 21 17 11 3 9 26 27 14 7 18 25 19 25 27 20 12 28 2 13 20 18 19 18 16 26 26 7 3 20 25 28 21 14 20 28 13 7 21 20 26 18 9 15 12 18 20 9 17 3 13 20 1 13 19 26 20 2 9 9 14 18 9 12 22 13 26 12 6 3 16 19 26 25 11 14 11 2 19 22 16 14 14 21 25 3 24 1 28 24 20 2 17 14 14 20 21 27 3 3 21 20 24 6 16 17 20 13 27 18 11 11 25 17 3 13 7 13 12 19 22 11 7 
71,37.000000,50943,1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 ,19 20 22 12 1 18 16 29 1 29 30 18 11 14 15 19 24 15 22 25 12 25 25 28 15 19 19 29 30 3 20 7 7 17 19 7 15 4 1 17 19 10 20 18 9 7 4 22 29 10 28 25 3 22 9 13 19 10 19 28 27 1 28 14 4 8 22 27 29 12 8 7 11 30 11 10 4 24 24 28 24 11 27 26 30 15 5 1 3 8 12 7 13 26 11 14 29 12 18 29 18 22 26 8 5 1 5 3 17 14 20 5 25 7 13 4 28 8 1 11 4 26 3 20 10 25 1 12 15 18 29 22 13 18 6 9 14 15 29 3 13 28 15 12 26 6 19 16 22 26 28 18 22 1 11 20 22 22 4 24 4 18 11 3 6 29 6 27 4 3 6 9 20 15 27 6 28 15 30 11 24 22 22 24 13 9 29 9 3 22 3 22 15 19 8 12 26 3 3 7 
